group,Channels
ext,OSNVIP Yahala_Cinema_HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/8630
ext,OSNVIP Ya Hala Oula HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/8629
ext,|OSN|ℛ: Ya Hala HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/24769
ext,|OSN|ℛ: Ya Hala Al Oula HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/24770
ext,|OSN|ℛ: Yahala Cinema HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/24768
ext,|OSN|ℛ: Al Yawm,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/24822
ext,|OSN|ℛ: ART Aflam 1,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/24820
ext,|OSN|ℛ: ART Aflam 2,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/24819
ext,|OSN|ℛ: ART Cinema,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/24818
ext,|OSN|ℛ: ART Hekayat 1,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/24817
ext,|OSN|ℛ: ART Hekayat 2,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/24816
ext,|OSN|ℛ: Cinema 1,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/24812
ext,|OSN|ℛ: Cinema 2,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/24811
ext,|OSN|ℛ: Action HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/24824
ext,|OSN|ℛ: Binge HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/24813
ext,|OSN|ℛ: Comedy HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/24809
ext,|OSN|ℛ: Enigma HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/24800
ext,|OSN|ℛ: Movies Disney HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/24791
ext,|OSN|ℛ: Movies First  2 HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/24790
ext,|OSN|ℛ: Movies First HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/24789
ext,|OSN|ℛ: Movies HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/24788
ext,|OSN|ℛ: Paramount HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/24779
ext,|OSN|ℛ: Musalsalat 1 HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/24777
ext,|OSN|ℛ: Star Movies HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/24774
ext,|OSN|ℛ: Star World HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/24773
ext,|OSN|ℛ: Animal Planet HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/24821
ext,|OSN|ℛ: H2 HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/24796
ext,|OSN|ℛ: Nat Geo HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/24785
ext,|OSN|ℛ: Nat Geo People HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/24784
ext,|OSN|ℛ: Disney HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/24804
ext,|OSN|ℛ: Disney Junior HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/24803
ext,|OSN|ℛ: Disney XD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/24802
ext,|OSN|ℛ: Fann,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/24799
ext,|OSN|ℛ: Fox News Channel,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/24797
ext,|OSN|ℛ: Kid Zone TV HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/24794
ext,|OSN|ℛ: Kids HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/24793
ext,|OSN|ℛ: Living HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/24792
ext,|OSN|ℛ: Nickelodeon,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/24780
ext,|OSN|ℛ: OSN NEWS,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/24772
ext,OSN: FOX LIFE,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/10904
ext,OSN: CINMA HD,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/10903
ext,OSN: FAMILY MOVIES,http://uk.redhatiptv.com:25461/rockiprv/8W11574o8yRe69Pm2/10900
